file,category,distance,block,trial,response,confidence,responseTime,reactionTime,correct
C:\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N815032.jpg,Animall,Head,1,1,Animall,5,3.62623950000852,3.7444092000369,1
C:\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N485043.jpg,Animall,MediumBody,1,2,Animall,5,0.55567799997516,0.674147200013977,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fdn_open13.jpg,NonAnimall,FarBody,1,3,NonAnimall,5,1.12254010001197,1.23823509999784,1
C:\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N815083.jpg,Animall,Head,1,4,Animall,5,0.988519000005908,1.10303270001896,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_for104.jpg,NonAnimall,Head,1,5,Animall,4,1.50458070001332,1.61602439999115,0
C:\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N110047.jpg,Animall,MediumBody,1,6,Animall,5,0.881181099975947,0.989984199986793,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fdn_for7.jpg,NonAnimall,FarBody,1,7,NonAnimall,5,1.43850590003422,1.55084580002585,1
C:\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N134031.jpg,Animall,Head,1,8,Animall,5,2.10127339995233,2.21758169995155,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn25.jpg,NonAnimall,Head,1,9,Animall,5,0.63147319998825,0.74622679996537,0
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fdn_open19.jpg,NonAnimall,FarBody,1,10,Animall,5,0.961275800014846,1.07610040000873,0
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fdn_open16.jpg,NonAnimall,FarBody,1,11,NonAnimall,5,0.997269599989522,1.11177730001509,1
C:\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N828067.jpg,Animall,CloseBody,1,12,Animall,5,1.16797389998101,1.28274850000162,1
C:\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N815010.jpg,Animall,CloseBody,1,13,Animall,5,0.90169580001384,1.01703069999348,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_text29.jpg,NonAnimall,CloseBody,1,14,NonAnimall,5,1.32703009998659,1.44131490000291,1
C:\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N268024.jpg,Animall,MediumBody,1,15,Animall,5,0.734285100013949,0.848978699999861,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fdn_land135.jpg,NonAnimall,FarBody,1,16,Animall,5,1.81785749999108,1.93315370002529,0
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_nat389.jpg,NonAnimall,MediumBody,1,17,NonAnimall,5,1.42270569998072,1.53253580001183,1
C:\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N253095.jpg,Animall,MediumBody,1,18,Animall,5,0.859640899987426,0.97432670003036,1
C:\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N828049.jpg,Animall,FarBody,1,19,NonAnimall,5,1.18992380000418,1.304918800015,0
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_land377.jpg,NonAnimall,CloseBody,1,20,Animall,5,1.01868929999182,1.133903799986,0
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn37.jpg,NonAnimall,Head,1,21,Animall,5,0.908868800033815,1.0237899000058,0
C:\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N408004.jpg,Animall,FarBody,1,22,Animall,5,1.07775329996366,1.19289750000462,1
C:\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N816036.jpg,Animall,FarBody,1,23,NonAnimall,5,1.18104330002097,1.29581130004954,0
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fdn_open7.jpg,NonAnimall,FarBody,1,24,NonAnimall,5,1.02349819999654,1.13909070001682,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn47.jpg,NonAnimall,Head,1,25,Animall,4,1.09308199997758,1.20786950003821,0
C:\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N168046.jpg,Animall,MediumBody,1,26,Animall,4,0.95144590002019,1.06639579997864,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mda_urb951.jpg,NonAnimall,MediumBody,1,27,Animall,3,1.62958389997948,1.7446128000156,0
C:\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N408059.jpg,Animall,MediumBody,1,28,Animall,5,0.916837700002361,1.03156490001129,1
C:\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N247010.jpg,Animall,Head,1,29,Animall,5,0.884069999970961,0.998846500006039,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_text21.jpg,NonAnimall,CloseBody,1,30,Animall,2,1.62723009998444,1.74207020003814,0
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fdn_nat170.jpg,NonAnimall,FarBody,1,31,NonAnimall,4,1.14577500004089,1.26048399996944,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn98.jpg,NonAnimall,Head,1,32,NonAnimall,5,1.04029839998111,1.15498759999173,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn113.jpg,NonAnimall,Head,1,33,Animall,4,1.08947429998079,1.20427840005141,0
C:\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N825071.jpg,Animall,MediumBody,1,34,Animall,5,0.851661599997897,0.966373500006739,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_natu160.jpg,NonAnimall,CloseBody,1,35,Animall,3,1.24408530001529,1.35867550002877,0
C:\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N408076.jpg,Animall,FarBody,1,36,Animall,5,0.905383199977223,1.02022060001036,1
C:\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N408045.jpg,Animall,FarBody,1,37,Animall,5,1.43036779999966,1.54522729996825,1
C:\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N209039.jpg,Animall,Head,1,38,Animall,5,1.0337744000135,1.14856020000298,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bda_urb596.jpg,NonAnimall,CloseBody,1,39,NonAnimall,5,1.0670972999651,1.18190620001405,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn65.jpg,NonAnimall,Head,1,40,NonAnimall,3,1.34196160000283,1.45674829999916,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fdn_nat895.jpg,NonAnimall,FarBody,1,41,NonAnimall,5,1.72603539994452,1.84055299998727,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_N44094.jpg,NonAnimall,CloseBody,1,42,Animall,5,0.970570100005716,1.08706710004481,0
C:\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N771070.jpg,Animall,CloseBody,1,43,Animall,5,0.995219199976418,1.10982949996833,1
C:\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N136056.jpg,Animall,MediumBody,1,44,Animall,4,1.09261799999513,1.20736559998477,1
C:\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N825052.jpg,Animall,CloseBody,1,45,Animall,5,0.843741599994246,0.958480200031772,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_N291096.jpg,NonAnimall,MediumBody,1,46,NonAnimall,5,1.14402950002113,1.25876639998751,1
C:\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N541022.jpg,Animall,CloseBody,1,47,Animall,5,0.82567360001849,0.940405799949076,1
C:\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N173071.jpg,Animall,CloseBody,1,48,Animall,5,1.02589059999445,1.14070590003394,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_nat915.jpg,NonAnimall,CloseBody,1,49,Animall,4,1.35745999997016,1.47209530003602,0
C:\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N802036.jpg,Animall,CloseBody,1,50,Animall,5,0.826582000008784,0.941239300009329,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_natu42.jpg,NonAnimall,MediumBody,1,51,NonAnimall,5,1.16054579999764,1.27526590001071,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn18.jpg,NonAnimall,Head,1,52,Animall,5,0.806928500009235,0.921691499999724,0
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_for135.jpg,NonAnimall,MediumBody,1,53,Animall,5,1.07525390002411,1.19009370001731,0
C:\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N408055.jpg,Animall,FarBody,1,54,Animall,5,1.02557260001777,1.14046910003526,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn19.jpg,NonAnimall,Head,1,55,NonAnimall,4,2.10627099999692,2.22110900003463,1
C:\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N209015.jpg,Animall,FarBody,1,56,Animall,5,0.95722439995734,1.07198649999918,1
C:\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N209079.jpg,Animall,CloseBody,1,57,Animall,5,0.810162900015712,0.925015199987683,1
C:\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N314064.jpg,Animall,FarBody,1,58,NonAnimall,4,1.37824429996544,1.49309160001576,0
C:\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N825028.jpg,Animall,CloseBody,1,59,Animall,5,0.74754909996409,0.862238399975467,1
C:\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N268067.jpg,Animall,CloseBody,1,60,Animall,5,0.97714219999034,1.09199259994784,1
C:\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N471006.jpg,Animall,Head,1,61,Animall,5,1.00579729996389,1.12067580001894,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_N228004.jpg,NonAnimall,MediumBody,1,62,NonAnimall,4,1.37496040004771,1.48985579999862,1
C:\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N815034.jpg,Animall,CloseBody,1,63,Animall,5,0.783081200032029,0.897861099976581,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn40.jpg,NonAnimall,Head,1,64,NonAnimall,4,1.13117160002002,1.24603820004268,1
