file,category,distance,block,trial,response,confidence,responseTime,reactionTime,correct
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hda_obj12.jpg,NonAnimall,Head,1,1,NonAnimall,5,1.13676989999999,1.2486318,1
C:\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N104097.jpg,Animall,CloseBody,1,2,Animall,5,1.16391109999995,1.27574289999995,1
C:\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N253027.jpg,Animall,MediumBody,1,3,Animall,5,0.401515199999949,0.511608099999989,1
C:\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N268010.jpg,Animall,MediumBody,1,4,Animall,3,2.7876589,2.89849949999996,1
C:\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_ani39.jpg,Animall,CloseBody,1,5,Animall,5,0.867425699999899,0.976084300000025,1
C:\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N130086.jpg,Animall,FarBody,1,6,Animall,5,0.416827799999965,0.528177000000028,1
C:\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N16076.jpg,Animall,FarBody,1,7,Animall,5,0.417909900000041,0.530381899999952,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bda_art1263.jpg,NonAnimall,CloseBody,1,8,Animall,5,0.564315699999952,0.679303399999981,0
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fda_A673062.jpg,NonAnimall,FarBody,1,9,NonAnimall,3,1.15145649999999,1.26484990000006,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mda_art7.jpg,NonAnimall,MediumBody,1,10,NonAnimall,5,0.876263699999981,0.991025100000002,1
C:\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N77081.jpg,Animall,CloseBody,1,11,Animall,5,0.744733699999983,0.859804699999927,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bda_art621.jpg,NonAnimall,CloseBody,1,12,NonAnimall,5,1.09827710000002,1.21280659999991,1
C:\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N109037.jpg,Animall,MediumBody,1,13,Animall,5,0.584879099999966,0.701412600000026,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bda_room4.jpg,NonAnimall,CloseBody,1,14,NonAnimall,3,1.49794940000004,1.61181950000002,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bda_room165.jpg,NonAnimall,CloseBody,1,15,Animall,5,0.634999000000107,0.75039680000009,0
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bda_art1185.jpg,NonAnimall,CloseBody,1,16,NonAnimall,5,1.17206250000004,1.2869207,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hda_obj56.jpg,NonAnimall,Head,1,17,NonAnimall,3,2.14557939999997,2.26040619999992,1
C:\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bda_room188.jpg,NonAnimall,CloseBody,1,18,NonAnimall,4,1.17391910000003,1.28896550000002,1
