file,category,distance,block,trial,response,confidence,responseTime,reactionTime,correct
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_N291070.jpg,NonAnimall,MediumBody,1,1,NonAnimall,3,2.88949223561212,3.00752631481737,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn177.jpg,NonAnimall,Head,1,2,Animall,3,2.38002458866686,2.49951525963843,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fdn_bea7.jpg,NonAnimall,FarBody,1,3,NonAnimall,4,1.55303897056729,1.67124964250252,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N253095.jpg,Animall,MediumBody,1,4,Animall,4,1.60350174526684,1.72439646464773,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_natu805.jpg,NonAnimall,Head,1,5,Animall,4,1.30994266876951,1.45447075203992,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_N266002.jpg,NonAnimall,MediumBody,1,6,NonAnimall,3,1.65388827351853,1.77109430427663,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N347031.jpg,Animall,CloseBody,1,7,NonAnimall,3,1.73674055375159,1.85476357163861,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N289045.jpg,Animall,MediumBody,1,8,Animall,3,1.93223669542931,2.05103719420731,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_for104.jpg,NonAnimall,Head,1,9,NonAnimall,3,2.00117688789032,2.11658222903498,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_objn146.jpg,NonAnimall,CloseBody,1,10,Animall,2,2.62785451626405,2.74470420181751,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_nat1196.jpg,NonAnimall,MediumBody,1,11,NonAnimall,2,2.35249907965772,2.47556940186769,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N541000.jpg,Animall,FarBody,1,12,Animall,2,2.62002084357664,2.74295368464664,1
